temperature,city,pressure,date
24.35,Paris,1018,2023-07-19 14:52
21.59,Brussels,1015,2023-07-19 14:52
20.85,Amsterdam,1013,2023-07-19 14:52
24.4,Paris,1018,2023-07-19 14:51
21.46,Brussels,1015,2023-07-19 14:51
20.85,Amsterdam,1013,2023-07-19 14:51
24.4,Paris,1018,2023-07-19 14:50
21.46,Brussels,1015,2023-07-19 14:50
20.87,Amsterdam,1013,2023-07-19 14:50
24.35,Paris,1018,2023-07-19 14:49
21.76,Brussels,1015,2023-07-19 14:49
20.87,Amsterdam,1013,2023-07-19 14:49
24.35,Paris,1018,2023-07-19 14:48
21.46,Brussels,1015,2023-07-19 14:48
20.87,Amsterdam,1013,2023-07-19 14:48
24.02,Paris,1018,2023-07-19 14:47
21.69,Brussels,1015,2023-07-19 14:47
21.0,Amsterdam,1013,2023-07-19 14:47
24.02,Paris,1018,2023-07-19 14:46
21.69,Brussels,1015,2023-07-19 14:46
20.87,Amsterdam,1013,2023-07-19 14:46
24.02,Paris,1018,2023-07-19 14:45
21.66,Brussels,1015,2023-07-19 14:45
20.87,Amsterdam,1013,2023-07-19 14:45
24.02,Paris,1018,2023-07-19 14:44
21.69,Brussels,1015,2023-07-19 14:44
21.0,Amsterdam,1013,2023-07-19 14:44
24.02,Paris,1018,2023-07-19 14:43
21.69,Brussels,1015,2023-07-19 14:43
20.99,Amsterdam,1013,2023-07-19 14:43
24.02,Paris,1018,2023-07-19 14:42
21.69,Brussels,1015,2023-07-19 14:42
20.99,Amsterdam,1013,2023-07-19 14:42
24.02,Paris,1018,2023-07-19 14:41
21.69,Brussels,1015,2023-07-19 14:41
21.0,Amsterdam,1013,2023-07-19 14:41
24.02,Paris,1018,2023-07-19 14:40
21.69,Brussels,1015,2023-07-19 14:40
20.99,Amsterdam,1013,2023-07-19 14:40
23.99,Paris,1018,2023-07-19 14:39
21.58,Brussels,1015,2023-07-19 14:39
21.0,Amsterdam,1013,2023-07-19 14:39
24.02,Paris,1018,2023-07-19 14:38
21.66,Brussels,1015,2023-07-19 14:38
20.82,Amsterdam,1013,2023-07-19 14:38
23.89,Paris,1018,2023-07-19 14:37
21.49,Brussels,1015,2023-07-19 14:37
20.82,Amsterdam,1013,2023-07-19 14:37
23.89,Paris,1018,2023-07-19 14:36
21.49,Brussels,1015,2023-07-19 14:36
20.99,Amsterdam,1013,2023-07-19 14:36
23.99,Paris,1018,2023-07-19 14:35
21.49,Brussels,1015,2023-07-19 14:35
20.82,Amsterdam,1013,2023-07-19 14:35
23.89,Paris,1018,2023-07-19 14:34
21.49,Brussels,1015,2023-07-19 14:34
20.82,Amsterdam,1013,2023-07-19 14:34
23.99,Paris,1018,2023-07-19 14:33
21.58,Brussels,1015,2023-07-19 14:33
20.85,Amsterdam,1013,2023-07-19 14:33
23.89,Paris,1018,2023-07-19 14:32
21.49,Brussels,1015,2023-07-19 14:32
20.85,Amsterdam,1013,2023-07-19 14:32
23.89,Paris,1018,2023-07-19 14:31
21.49,Brussels,1015,2023-07-19 14:31
20.82,Amsterdam,1013,2023-07-19 14:31
23.99,Paris,1018,2023-07-19 14:30
21.44,Brussels,1015,2023-07-19 14:30
20.85,Amsterdam,1013,2023-07-19 14:30
23.99,Paris,1018,2023-07-19 14:29
21.49,Brussels,1015,2023-07-19 14:29
20.82,Amsterdam,1013,2023-07-19 14:29
23.91,Paris,1018,2023-07-19 14:28
21.44,Brussels,1015,2023-07-19 14:28
20.85,Amsterdam,1013,2023-07-19 14:28
23.91,Paris,1018,2023-07-19 14:27
21.44,Brussels,1015,2023-07-19 14:27
20.8,Amsterdam,1013,2023-07-19 14:27
23.91,Paris,1018,2023-07-19 14:26
21.53,Brussels,1015,2023-07-19 14:26
20.8,Amsterdam,1013,2023-07-19 14:26
23.91,Paris,1018,2023-07-19 14:25
21.53,Brussels,1015,2023-07-19 14:25
20.86,Amsterdam,1013,2023-07-19 14:25
23.91,Paris,1018,2023-07-19 14:24
21.44,Brussels,1015,2023-07-19 14:24
20.8,Amsterdam,1013,2023-07-19 14:24
23.91,Paris,1018,2023-07-19 14:23
21.53,Brussels,1015,2023-07-19 14:23
20.86,Amsterdam,1013,2023-07-19 14:23
